epoch,accuracy,loss,val_accuracy,val_loss
0,0.46277332305908203,1.2323826551437378,0.5216138362884521,1.160862684249878
1,0.6340990662574768,0.8823320865631104,0.5446686148643494,1.1078139543533325
2,0.7265430092811584,0.695642352104187,0.579250693321228,1.1053911447525024
3,0.7818986773490906,0.5692776441574097,0.5763688683509827,1.1958273649215698
4,0.8364240527153015,0.4510766267776489,0.579250693321228,1.227922797203064
5,0.8674231767654419,0.3633532226085663,0.559077799320221,1.3568025827407837
6,0.869914174079895,0.35664603114128113,0.5533141493797302,1.6145809888839722
7,0.9083864092826843,0.2599251866340637,0.5821325778961182,1.5162941217422485
8,0.9166897535324097,0.23472966253757477,0.5648415088653564,1.7345918416976929
9,0.9391087889671326,0.18380366265773773,0.5561959743499756,1.6873575448989868
10,0.9291447401046753,0.20015697181224823,0.5561959743499756,1.9071499109268188
11,0.9474121332168579,0.15768516063690186,0.5734870433807373,1.8883970975875854
12,0.9584832787513733,0.11983399838209152,0.5677233338356018,1.901777744293213
13,0.9582064747810364,0.11727849394083023,0.5677233338356018,2.1084907054901123
14,0.9648491740226746,0.10888426005840302,0.5677233338356018,2.12880539894104
15,0.9684472680091858,0.0957099124789238,0.5619596838951111,2.236314296722412
16,0.9676169157028198,0.09879811853170395,0.5706051588058472,2.162584066390991
17,0.9645723700523376,0.10155779868364334,0.5878962278366089,2.216064214706421
18,0.9717686176300049,0.09188298881053925,0.6051872968673706,2.240915060043335
19,0.9725989699363708,0.08670730888843536,0.5504322648048401,2.6822781562805176
20,0.9706615209579468,0.08245043456554413,0.5763688683509827,2.4120516777038574
21,0.9725989699363708,0.07998708635568619,0.5734870433807373,2.4893746376037598
22,0.9598671197891235,0.11943801492452621,0.5821325778961182,2.2961301803588867
23,0.9626349210739136,0.10364318639039993,0.5850144028663635,2.5002856254577637
24,0.9725989699363708,0.07257901877164841,0.5734870433807373,2.4916207790374756
