epoch,accuracy,loss,val_accuracy,val_loss
0,0.8870744705200195,0.30402860045433044,0.5965417623519897,1.3535375595092773
1,0.9089399576187134,0.25555354356765747,0.579250693321228,1.4880149364471436
2,0.922225296497345,0.2147206813097,0.6051872968673706,1.5198715925216675
3,0.9299750924110413,0.19286136329174042,0.5734870433807373,1.6660367250442505
4,0.9396623373031616,0.1832723766565323,0.5763688683509827,1.6928306818008423
5,0.9551619291305542,0.1421806663274765,0.5850144028663635,1.6699461936950684
6,0.9548851251602173,0.12938272953033447,0.5677233338356018,1.8700650930404663
7,0.9606974720954895,0.12360008805990219,0.5878962278366089,1.8980110883712769
8,0.9648491740226746,0.11686760187149048,0.5763688683509827,2.0820255279541016
9,0.9667866230010986,0.10044218599796295,0.5619596838951111,2.1699399948120117
10,0.972875714302063,0.09079664200544357,0.5734870433807373,2.1423704624176025
11,0.9761970639228821,0.07982262969017029,0.5504322648048401,2.312389850616455
12,0.9612510204315186,0.11320420354604721,0.5734870433807373,2.2324633598327637
13,0.9670633673667908,0.10630909353494644,0.5648415088653564,2.3246231079101562
14,0.9582064747810364,0.13165691494941711,0.590778112411499,2.251476526260376
15,0.9629117250442505,0.10512065887451172,0.5965417623519897,2.2778048515319824
16,0.972045361995697,0.07954408973455429,0.590778112411499,2.360131025314331
17,0.9814558625221252,0.061933837831020355,0.5965417623519897,2.5128817558288574
18,0.9684472680091858,0.09094992280006409,0.5763688683509827,2.5606958866119385
19,0.9698311686515808,0.08855053037405014,0.5734870433807373,2.47294020652771
20,0.9761970639228821,0.0712854191660881,0.5994236469268799,2.5230448246002197
21,0.9701079726219177,0.08567239344120026,0.5648415088653564,2.480372667312622
22,0.9579296708106995,0.11282284557819366,0.5677233338356018,2.617403745651245
23,0.9637420177459717,0.09915199130773544,0.5475504398345947,2.9096803665161133
24,0.973429262638092,0.07711325585842133,0.5994236469268799,2.393315076828003
