epoch,accuracy,loss,val_accuracy,val_loss
0,0.9786880612373352,0.05590324103832245,0.6829971075057983,1.6619455814361572
1,0.977027416229248,0.05382130667567253,0.6685879230499268,1.7559393644332886
2,0.9773041605949402,0.054601263254880905,0.6772334575653076,1.7293312549591064
3,0.9809023141860962,0.05025460943579674,0.6685879230499268,1.7424346208572388
4,0.9811790585517883,0.048381008207798004,0.6599423885345459,1.8816227912902832
5,0.9797951579093933,0.048773668706417084,0.6628242135047913,1.7773423194885254
6,0.9789648652076721,0.046553391963243484,0.6657060384750366,1.832725167274475
7,0.9786880612373352,0.04999988526105881,0.6714697480201721,1.8540120124816895
8,0.9786880612373352,0.046086035668849945,0.6570605039596558,1.9459364414215088
9,0.9795184135437012,0.046002861112356186,0.6772334575653076,1.871579885482788
10,0.9781345129013062,0.046895530074834824,0.6628242135047913,1.883092999458313
11,0.9814558625221252,0.03853008896112442,0.680115282535553,1.9582383632659912
12,0.9811790585517883,0.04488711059093475,0.6657060384750366,1.9340285062789917
13,0.9792416095733643,0.04338954761624336,0.6541786789894104,2.0030152797698975
14,0.9797951579093933,0.04008947312831879,0.6541786789894104,1.9842067956924438
15,0.9811790585517883,0.03723996505141258,0.6743515729904175,1.97551429271698
16,0.9786880612373352,0.040460046380758286,0.6628242135047913,2.0016098022460938
17,0.9786880612373352,0.03954170271754265,0.6685879230499268,2.0025346279144287
18,0.9795184135437012,0.03786339610815048,0.6628242135047913,1.9914612770080566
19,0.9784113168716431,0.037057653069496155,0.651296854019165,2.0751843452453613
20,0.9795184135437012,0.03556126356124878,0.6714697480201721,2.0168538093566895
21,0.9786880612373352,0.03854561969637871,0.6657060384750366,2.0269548892974854
22,0.9811790585517883,0.0364191047847271,0.6685879230499268,2.0765774250030518
23,0.9806255102157593,0.03701099380850792,0.6599423885345459,2.1337668895721436
24,0.9809023141860962,0.03732850402593613,0.6685879230499268,2.0499720573425293
